game_name,Navy_clear_attempts,Navy_draw_controls,Navy_failed_clears,Navy_fouls,Navy_free_positions,Navy_goals,Navy_ground_ball_pickups,Navy_possessions,Navy_shots,Navy_successful_clears,Navy_timeouts,Navy_turnovers,clear_attempts,draw_controls,fouls,free_position_attempts,goals,ground_ball_pickups,opponent_clear_attempts,opponent_draw_controls,opponent_failed_clears,opponent_fouls,opponent_free_positions,opponent_goals,opponent_ground_ball_pickups,opponent_possessions,opponent_shots,opponent_successful_clears,opponent_timeouts,opponent_turnovers,possessions,shots,timeouts,turnovers,solo_WeaponAcquired,solo_Days,solo_LongestTimeSurvived,solo_MostSurvivalTime,solo_AvgSurvivalTime,solo_WinPoints,solo_WalkDistance,solo_RideDistance,solo_MoveDistance,solo_AvgWalkDistance,solo_AvgRideDistance,solo_LongestKill,solo_Heals,solo_Revives,solo_Boosts,solo_DamageDealt,solo_DBNOs,duo_KillDeathRatio,duo_WinRatio,duo_TimeSurvived,duo_RoundsPlayed,duo_Wins,duo_WinTop10Ratio,duo_Top10s,duo_Top10Ratio,duo_Losses,duo_Rating,duo_BestRating,duo_DamagePg,duo_HeadshotKillsPg,duo_HealsPg,duo_KillsPg,duo_MoveDistancePg,duo_RevivesPg,duo_RoadKillsPg,duo_TeamKillsPg,duo_TimeSurvivedPg,duo_Top10sPg,duo_Kills,duo_Assists,duo_Suicides,duo_TeamKills,duo_HeadshotKills,duo_HeadshotKillRatio,duo_VehicleDestroys,duo_RoadKills,duo_DailyKills,duo_WeeklyKills,duo_RoundMostKills,duo_MaxKillStreaks,duo_WeaponAcquired,duo_Days,duo_LongestTimeSurvived,duo_MostSurvivalTime,duo_AvgSurvivalTime,duo_WinPoints,duo_WalkDistance,duo_RideDistance,duo_MoveDistance,duo_AvgWalkDistance,duo_AvgRideDistance,duo_LongestKill,duo_Heals,duo_Revives,duo_Boosts,duo_DamageDealt,duo_DBNOs,squad_KillDeathRatio,squad_WinRatio,squad_TimeSurvived,squad_RoundsPlayed,squad_Wins,squad_WinTop10Ratio,squad_Top10s,squad_Top10Ratio,squad_Losses,squad_Rating,squad_BestRating,squad_DamagePg,squad_HeadshotKillsPg,squad_HealsPg,squad_KillsPg,squad_MoveDistancePg,squad_RevivesPg,squad_RoadKillsPg,squad_TeamKillsPg,squad_TimeSurvivedPg,squad_Top10sPg,squad_Kills,squad_Assists,squad_Suicides,squad_TeamKills,squad_HeadshotKills,squad_HeadshotKillRatio,squad_VehicleDestroys,squad_RoadKills,squad_DailyKills,squad_WeeklyKills,squad_RoundMostKills,squad_MaxKillStreaks,squad_WeaponAcquired,squad_Days,squad_LongestTimeSurvived,squad_MostSurvivalTime,squad_AvgSurvivalTime,squad_WinPoints,squad_WalkDistance,squad_RideDistance,squad_MoveDistance,squad_AvgWalkDistance,squad_AvgRideDistance,squad_LongestKill,squad_Heals,squad_Revives,squad_Boosts,squad_DamageDealt,squad_DBNOs
High Point ,17,16,1,11,0,16,21,30,11,16,0,16,37,23,23,1,21,38,20,7,4,12,1,5,17,55,17,16,3,14,53,28,3,30,0,27,2185.73,2185.73,939.83,5394,219813.08,114017.81,333830.88,1986.97,1105.19,402.96,160,0,242,37744.5,0,3.79,11.46,95740.77,96,11,0.28,32,33.3,85,2286.7,2170.97,414.17,0.82,1.79,3.35,3760.61,0.21,0.02,0.03,997.3,0.33,322,86,3,3,79,0.25,5,2,55,96,15,3,0,24,2036.19,2036.19,983.76,3183,196910.78,164107.38,361018.3,1987.67,1727.87,581.06,172,20,223,39760.23,190,3.83,27.44,1206308.02,933,256,0.36,605,64.8,677,3073.72,3067.87,366.11,0.55,2.8,2.78,4553.95,0.37,0,0.02,1292.93,0.65,2592,1295,3,19,517,0.2,47,4,53,70,15,5,0,65,2197.47,2197.47,1146.75,7708,2453718.02,1795121.84,4248839.76,2191.49,2357.04,971.82,2616,341,2379,341578.55,2198
Holy Cross,20,16,1,13,0,22,21,35,22,19,0,11,39,30,35,14,28,32,19,14,8,22,14,6,11,56,14,11,1,19,60,36,1,30,0,43,1959.43,1959.43,838.94,2934,313103.91,379037.02,692140.93,1276.77,1972.2,343.82,406,0,332,48406.91,0,1.35,3.19,226398.88,282,9,0.05,60,21.3,273,2128.36,2230.52,172.81,0.24,1.46,1.3,2546.09,0.19,0.02,0.02,802.83,0.21,368,74,3,5,69,0.19,7,5,5,19,11,3,0,35,2191.55,2191.55,726.25,3749,314380.9,403615.5,717996.4,1153,483.95,319.36,413,53,348,48731.29,232,1.64,18.5,851377.05,638,118,0.4,439,68.8,520,2994.5,3013.99,197.61,0.19,2.24,1.34,5112.27,0.29,0.01,0.01,1334.45,0.69,852,432,2,6,122,0.14,44,8,9,38,10,4,0,64,2190.49,2190.49,1115.25,6278,1037534.91,2224095.54,3261630.99,1442.27,2484.46,436.7,1431,186,1142,126076.78,752
Lafayette,17,21,2,15,0,21,17,39,20,15,0,6,38,27,20,9,26,32,21,6,6,5,9,5,15,55,12,15,3,18,51,32,3,24,0,22,2022.69,2022.69,1022.25,3902,171399.74,294109.95,465509.69,1928.81,2707.02,601.15,167,0,238,38018.21,0,4.73,24.49,56376.59,49,12,0.52,18,36.7,37,2315.49,2339.9,441.51,0.76,1.98,3.57,5616.87,0.37,0.06,0,1150.54,0.37,175,49,0,0,37,0.21,0,3,39,77,13,4,0,16,1981.47,1981.47,1127.04,3150,89770.83,185455.73,275226.52,1765.04,3774.46,421.17,97,18,116,21633.76,105,4.62,27.42,1102487.73,828,227,0.35,548,66.2,601,3008.56,3004.57,402.14,0.65,3.22,3.35,4884.12,0.5,0.01,0.02,1331.51,0.66,2774,1190,3,16,535,0.19,63,12,58,110,17,4,0,59,2190.4,2190.4,972.83,7746,2165263.71,1878784.23,4044047.95,1815.85,1407.37,710.15,2667,417,2044,332970.41,2187
Lehigh,16,20,3,10,0,23,16,31,19,13,0,9,31,30,28,8,29,25,15,10,4,18,8,6,9,59,15,11,3,11,50,34,3,20,0,16,2033.95,2033.95,777.27,5086,90663.46,157326.08,247989.58,877.32,1368.98,228.39,114,0,131,20950.58,0,2.47,12.82,102923.82,78,10,0.41,37,47.4,68,2281.74,2288.37,262.97,0.31,2.05,2.15,5708.88,0.21,0,0,1319.54,0.47,168,32,0,0,24,0.14,6,0,26,26,11,3,0,17,1975.37,1975.37,1380.74,4135,116857.79,328434.75,445292.64,1385.27,3989.61,483.61,160,16,159,20511.27,84,2.22,27.52,626104.7,436,120,0.23,335,76.8,316,2971.3,3003.62,221.57,0.23,1.93,1.61,6391.94,0.27,0.01,0.01,1436.02,0.77,701,300,1,4,100,0.14,26,6,13,66,11,4,0,41,2172.75,2172.75,919.98,5837,722933.46,2063950.51,2786884.17,1256.33,1690.35,462.32,840,117,839,96604.62,553
Loyola,16,16,4,19,0,6,16,29,18,12,0,15,39,24,38,15,22,34,23,8,2,19,15,16,18,55,9,21,4,13,52,27,4,28,0,16,1970.47,1970.47,1369.84,2740,48791.78,62285.05,111076.82,2176.29,4313.64,330.07,38,0,65,7536.64,0,3.08,21.48,186383.5,135,29,0.38,77,57,106,2324.07,2309.67,297.09,0.5,2.3,2.41,5745.99,0.15,0.01,0.01,1380.62,0.57,326,112,0,1,68,0.21,2,1,4,12,10,3,0,20,2186.89,2186.89,1380.62,1940,263667.8,512041,775708.8,1953.09,3792.9,386.47,310,20,318,40107.62,181,3.48,39.78,420718.59,269,107,0.56,233,86.6,162,2989.82,2987.12,242.85,0.29,2.62,2.09,7491.81,0.26,0.01,0,1564.01,0.87,563,262,0,1,79,0.14,18,4,23,23,9,4,0,34,2190.74,2190.74,1544.79,3789,623788.64,1391507.33,2015296.77,2354.22,5138.15,519.68,704,71,602,65327.24,436
Loyola,9,17,1,17,0,9,8,23,15,8,0,8,25,32,46,27,30,17,16,15,1,29,27,21,9,56,9,15,5,6,46,24,5,14,0,2,1878.16,1878.16,1212.67,1096,2841.64,7188.01,10029.64,947.21,2396,125.66,2,0,7,1111.94,0,4.55,28.57,36537.31,28,8,0.31,13,46.4,20,2151.07,2178.16,399.93,0.61,0.86,3.25,5197.92,0.07,0,0,1304.9,0.46,91,17,0,0,17,0.19,3,0,4,6,9,2,0,15,1972.66,1972.66,998.94,2801,40387.91,105153.78,145541.71,1318.88,2892.77,569.74,24,2,71,11198.13,43,4.86,44.41,517227.1,322,143,0.53,271,84.2,179,3011.01,3010.37,367.73,0.43,1.52,2.7,7772.73,0.39,0.03,0.02,1606.3,0.84,870,471,0,5,137,0.16,41,9,27,27,10,4,0,43,2185.65,2185.65,1606.3,2517,630552.1,1872267,2502820,1958.24,5814.5,1001.9,488,126,1044,118409.8,680
Saint Joseph's,21,16,5,14,0,12,24,35,25,16,0,16,47,25,39,11,23,47,26,9,3,25,11,11,23,55,17,23,5,19,60,42,5,35,0,20,2195.87,2195.87,1034.83,3359,278988.7,931615.1,1210603.5,1223.54,2840.29,442.07,278,0,472,52780.42,0,4.87,33.33,87214.92,57,19,0.49,39,68.4,38,2599.04,2617.34,421,0.53,2.47,3.25,6552.22,0.26,0.02,0,1530.09,0.68,185,57,0,0,30,0.16,7,1,12,12,10,3,0,11,2016.95,2016.95,1530.09,2170,110050.6,263426.3,373476.8,1930.71,4621.51,363.62,141,15,181,23996.77,111,3.93,41,462896.69,300,123,0.26,239,79.7,177,3002.73,3005.95,336.78,0.35,3.11,2.32,6547.07,0.29,0.03,0.02,1542.99,0.8,695,387,1,6,104,0.15,21,8,11,11,12,4,0,26,2176.05,2176.05,1457.48,3513,650411.22,1313710.98,1964121.9,1717.99,5487.29,496.55,933,88,655,101034.3,606
Towson,19,18,2,20,0,14,21,38,15,17,0,23,44,28,48,17,27,37,25,10,5,28,17,13,16,56,11,20,6,20,71,26,6,43,0,16,2173.68,2173.68,1460.38,3448,100044.87,275697.07,375741.9,1619.45,4658.91,372.23,108,0,248,29958.4,0,5.29,32.47,110738.7,77,25,0.52,48,62.3,52,2571.36,2590.82,452.81,0.99,1.91,3.57,6388.62,0.44,0.1,0.01,1438.16,0.62,275,77,1,1,76,0.28,6,8,9,9,16,4,0,16,2020.32,2020.32,1438.16,2141,142308.1,349615.5,491923.6,1848.16,4540.46,761.41,147,34,219,34866.6,155,4.5,35.21,398456.08,267,94,0.24,205,76.8,173,3032.74,3028.9,389.18,0.61,2.12,2.92,6409.82,0.45,0.01,0,1492.34,0.77,779,322,0,1,163,0.21,19,2,53,53,12,4,0,28,2193.25,2193.25,1288.8,3645,541037.06,1170384.39,1711422.05,1843.02,3272.59,610.58,566,120,650,103910.13,714
Villanova,21,15,2,13,0,14,17,35,17,19,0,21,47,21,37,4,20,36,26,6,6,24,4,6,19,55,12,20,2,20,62,29,2,41,0,6,1959.46,1959.46,1307.95,1730,34591.29,41756.23,76347.52,2161.96,2609.76,245.48,20,0,58,6758.8,0,3.31,21.5,139488.68,107,23,0.21,56,52.3,84,2469.75,2509.94,302.66,0.64,1.78,2.6,5611.92,0.31,0.03,0.01,1303.63,0.52,278,77,0,1,69,0.25,10,3,11,11,10,3,0,27,2188.9,2188.9,1086.67,3056,220449.82,380025.6,600475.43,1521.63,3594.61,396.52,190,33,314,32384.13,154,3.9,37.94,434329.2,282,107,0.45,240,85.1,175,2998.38,3003.62,285.93,0.48,2.21,2.42,7249.52,0.39,0.04,0.01,1540.17,0.85,682,301,0,4,135,0.2,27,12,18,119,11,4,0,32,2189.08,2189.08,1540.17,2506,614751.8,1429614,2044366,2179.97,5069.55,548.12,623,111,889,80631.02,516
Virginia ,18,16,5,19,0,12,18,32,18,13,0,18,34,29,48,2,27,36,16,13,1,29,2,15,18,57,13,15,4,16,63,31,4,34,0,27,2117.69,2117.69,1020.36,1827,64516.89,95676.41,160193.3,1433.71,2126.14,344.96,47,0,81,12834.82,0,2.27,3.51,49441.72,57,2,0.14,14,24.6,55,2175.11,2158.06,294.55,0.37,1.61,2.19,3046.64,0.26,0,0,867.4,0.25,125,26,0,0,21,0.17,0,0,1,1,14,3,0,15,1978.24,1978.24,867.4,1800,77090.05,96568.23,173658.3,1352.46,1694.18,230.56,92,15,75,16789.39,75,2.39,17.91,779638.82,564,101,0.3,402,71.3,463,2988.21,3000.82,271.42,0.26,1.77,1.96,5574.19,0.3,0,0.01,1382.34,0.71,1108,524,2,8,144,0.13,31,2,19,53,12,4,0,56,2195.03,2195.03,1153.04,6327,1058601.85,2085239,3143840.85,1604.04,2581.89,453.66,997,172,940,153078.26,904
Virginia ,14,19,1,22,0,12,12,33,17,13,0,14,29,28,38,1,27,27,15,9,2,16,1,15,15,55,13,13,5,14,56,30,5,28,0,20,2002.52,2002.52,1278.34,4507,89077.66,82265.82,171343.46,1898.15,1824.04,304.65,147,0,171,21008.36,0,3.04,6.86,101265.75,102,7,0.13,28,27.5,95,2193.72,2217.39,344.97,0.45,1.59,2.83,2665.95,0.2,0.02,0.06,992.8,0.27,289,27,2,6,46,0.16,5,2,13,34,13,3,0,26,2188.87,2188.87,1162.78,2866,136353.7,135573.18,271926.78,1740.19,1735.26,244.47,162,20,233,35186.76,181,2.7,18.56,859394.78,625,116,0.33,453,72.5,509,3007.67,3020.67,310.69,0.32,2.26,2.2,5496.64,0.26,0.04,0.04,1375.03,0.72,1376,486,7,23,203,0.15,64,27,64,64,11,5,0,47,2192.18,2192.18,1249.38,6256,1162386.43,2273010.51,3435396.93,1813.49,2815.27,627.89,1415,164,1663,194178.57,1195
