game_id,cause,end_time,game_id,result,start_time,team
124,Clear,2:45,0,Shot,2:47,opponent
125,Shot,2:08,0,Goal,2:45,opponent
126,Draw,1:50,0,Clear,0:00,opponent
127,Clear,1:49,0,Turnover,1:50,opponent
128,Turnover,0:41,0,Goal,1:46,Navy
129,Draw,0:34,0,Goal,0:00,Navy
130,Draw,0:14,0,Goal,0:00,Navy
131,Draw,28:57:00,1,Turnover,0:00,Navy
132,Turnover,28:48:00,1,Clear,28:54:00,opponent
133,Clear,28:42:00,1,Turnover,28:48:00,opponent
134,Turnover,28:15:00,1,Shot,28:38:00,Navy
135,Shot,28:01:00,1,Goal,28:15:00,Navy
136,Draw,27:45:00,1,Turnover,0:00,opponent
137,Turnover,27:36:00,1,Clear,27:42:00,Navy
138,Clear,27:27:00,1,Shot,27:36:00,Navy
139,Shot,27:05:00,1,Goal,27:27:00,Navy
140,Draw,26:53:00,1,Turnover,0:00,opponent
141,Turnover,25:49:00,1,Goal,26:53:00,Navy
142,Draw,24:51:00,1,Goal,0:00,Navy
143,Draw,23:45,1,Shot,0:00,Navy
144,Shot,23:31,1,Goal,23:45,Navy
145,Draw,23:00,1,Turnover,0:00,opponent
146,Turnover,22:27,1,Clear,22:56,Navy
147,Clear,22:03,1,Goal,22:27,Navy
148,Draw,21:25,1,Turnover,0:00,opponent
149,Turnover,20:58,1,Clear,21:18,Navy
150,Clear,20:36,1,Goal,20:58,Navy
151,Draw,20:20,1,Clear,0:00,Navy
152,Clear,19:27,1,Goal,20:20,Navy
153,Draw,18:58,1,Goal,0:00,opponent
154,Draw,18:34,1,Shot,0:00,Navy
155,Shot,18:04,1,Goal,18:34,Navy
156,Draw,17:26,1,Turnover,0:00,Navy
157,Turnover,17:02,1,Clear,17:23,opponent
158,Clear,16:52,1,Turnover,17:02,opponent
159,Turnover,16:28,1,Clear,16:49,Navy
160,Clear,15:48,1,Shot,16:28,Navy
161,Turnover,15:26,1,Clear,15:44,opponent
162,Clear,14:57,1,Shot,15:26,opponent
163,Shot,14:47,1,Clear,14:57,opponent
164,Clear,14:45,1,Turnover,14:47,Navy
165,Turnover,13:56,1,Shot,14:45,opponent
166,Shot,13:33,1,Clear,13:56,opponent
167,Clear,13:30,1,Shot,13:33,Navy
168,Shot,13:03,1,Turnover,13:30,Navy
169,Turnover,12:57,1,Clear,13:00,opponent
170,Clear,12:49,1,Turnover,12:57,opponent
171,Turnover,12:34,1,Clear,12:45,Navy
172,Clear,11:56,1,Goal,12:34,Navy
173,Draw,11:13,1,Goal,0:00,opponent
174,Draw,10:33,1,Goal,0:00,opponent
175,Draw,9:26,1,Shot,0:00,opponent
176,Shot,9:24,1,Shot,9:26,opponent
177,Shot,9:04,1,Shot,9:24,opponent
178,Shot,8:52,1,Turnover,9:04,opponent
179,Turnover,8:39,1,Clear,8:49,Navy
180,Clear,7:47,1,Goal,8:39,Navy
181,Draw,7:01,1,Shot,0:00,opponent
182,Shot,6:45,1,Shot,7:01,opponent
183,Shot,6:35,1,Shot,6:45,opponent
184,Turnover,6:24,1,Clear,6:31,Navy
185,Clear,5:57,1,Shot,6:24,Navy
186,Shot,5:30,1,Turnover,5:57,Navy
187,Turnover,5:13,1,Clear,5:27,opponent
188,Clear,4:28,1,Goal,5:13,opponent
189,Draw,4:03,1,Goal,0:00,Navy
190,Draw,3:55,1,Turnover,0:00,Navy
191,Turnover,3:49,1,Clear,3:53,opponent
192,Clear,3:48,1,Turnover,3:49,opponent
193,Turnover,3:44,1,Goal,3:45,Navy
194,Draw,3:10,1,Goal,0:00,Navy
195,Draw,1:33,1,Turnover,0:00,opponent
196,Turnover,1:16,1,Clear,1:29,Navy
197,Clear,0:53,1,Goal,1:16,Navy
198,Draw,29:09:00,1,Shot,0:00,Navy
199,Shot,28:34:00,1,Clear,29:09:00,Navy
200,Clear,27:56:00,1,Goal,28:34:00,opponent
201,Draw,26:12:00,1,Shot,0:00,Navy
202,Shot,25:33:00,1,Clear,26:12:00,Navy
203,Clear,25:18:00,1,Turnover,25:33:00,opponent
204,Turnover,25:08:00,1,Clear,25:15:00,Navy
205,Clear,24:22:00,1,Goal,25:08:00,Navy
206,Draw,22:18,1,Shot,0:00,Navy
207,Turnover,20:25,1,Goal,22:13,Navy
208,Draw,19:50,1,Goal,0:00,Navy
209,Draw,19:05,1,Goal,0:00,Navy
210,Draw,18:57,1,Turnover,0:00,opponent
211,Turnover,18:47,1,Turnover,18:54,Navy
212,Turnover,18:26,1,Clear,18:45,opponent
213,Clear,18:25,1,Turnover,18:26,opponent
214,Turnover,18:05,1,Clear,18:25,Navy
215,Clear,17:44,1,Shot,18:05,Navy
216,Shot,16:50,1,Shot,17:44,Navy
217,Shot,16:24,1,Shot,16:50,Navy
218,Shot,16:13,1,Turnover,16:24,Navy
219,Turnover,16:03,1,Clear,16:07,opponent
220,Clear,14:52,1,Turnover,16:03,opponent
221,Turnover,14:42,1,Clear,14:46,Navy
222,Clear,14:40,1,Goal,14:42,Navy
223,Draw,13:59,1,Goal,0:00,opponent
224,Draw,12:31,1,Goal,0:00,Navy
225,Draw,11:17,1,Turnover,0:00,Navy
226,Turnover,10:50,1,Clear,11:17,opponent
227,Clear,10:23,1,Turnover,10:50,opponent
228,Turnover,10:17,1,Clear,10:20,Navy
229,Clear,9:47,1,Turnover,10:17,Navy
230,Turnover,9:23,1,Clear,9:42,opponent
231,Clear,8:55,1,Turnover,9:23,opponent
232,Turnover,8:41,1,Clear,8:52,Navy
233,Clear,8:25,1,Shot,8:41,Navy
234,Shot,8:01,1,Shot,8:25,Navy
235,Shot,7:44,1,Clear,8:01,Navy
236,Clear,7:10,1,Goal,7:44,opponent
237,Draw,6:32,1,Turnover,0:00,opponent
238,Turnover,6:12,1,Clear,6:21,Navy
239,Clear,5:43,1,Shot,6:12,Navy
240,Shot,5:20,1,Clear,5:43,Navy
241,Clear,5:00,1,Shot,5:20,opponent
242,Shot,4:37,1,Turnover,5:00,opponent
243,Turnover,4:26,1,Clear,4:34,Navy
244,Clear,3:46,1,Turnover,4:26,Navy
245,Turnover,3:39,1,Clear,3:43,opponent
246,Clear,3:14,1,Goal,3:39,opponent
247,Draw,1:49,1,Turnover,0:00,opponent
248,Turnover,1:42,1,Clear,1:46,Navy
249,Clear,0:50,1,Turnover,1:42,opponent
250,Turnover,1:30,1,Turnover,0:50,Navy
251,Turnover,0:00,1,Shot,1:30,Navy
252,Draw,29:16:00,2,Shot,0:00,opponent
253,Turnover,28:36:00,2,Goal,29:06:00,opponent
254,Draw,28:12:00,2,Goal,0:00,Navy
255,Draw,27:30:00,2,Goal,0:00,Navy
256,Draw,27:15:00,2,Shot,0:00,Navy
257,Turnover,27:02:00,2,Goal,27:12:00,Navy
258,Draw,26:13:00,2,Shot,0:00,opponent
259,Turnover,25:57:00,2,Clear,26:11:00,Navy
260,Clear,25:26:00,2,Shot,25:57:00,Navy
261,Turnover,25:15:00,2,Shot,25:24:00,Navy
262,Shot,24:47:00,2,Turnover,25:15:00,opponent
263,Turnover,24:19:00,2,Goal,24:45:00,Navy
264,Draw,23:26,2,Goal,0:00,Navy
265,Draw,23:11,2,Goal,0:00,Navy
266,Draw,22:36,2,Turnover,0:00,Navy
267,Turnover,22:07,2,Clear,22:36,opponent
268,Clear,21:32,2,Shot,22:07,opponent
269,Shot,21:03,2,Clear,21:32,opponent
270,Clear,20:48,2,Shot,21:03,Navy
271,Shot,20:25,2,Clear,20:48,Navy
272,Clear,19:43,2,Shot,20:25,opponent
273,Turnover,19:31,2,Clear,19:42,Navy
274,Clear,19:02,2,Turnover,19:31,opponent
275,Turnover,18:57,2,Clear,19:02,Navy
276,Clear,18:36,2,Shot,18:57,opponent
277,Shot,18:27,2,Shot,18:36,opponent
278,Turnover,17:56,2,Goal,18:23,opponent
279,Draw,17:40,2,Shot,0:00,Navy
280,Turnover,17:04,2,Goal,17:34,Navy
281,Draw,16:48,2,Shot,0:00,Navy
282,Shot,16:40,2,Shot,16:48,Navy
283,Shot,16:09,2,Shot,16:40,Navy
284,Shot,15:41,2,Shot,16:09,Navy
285,Shot,15:24,2,Clear,15:41,Navy
286,Clear,14:53,2,Shot,15:24,opponent
287,Shot,14:31,2,Turnover,14:53,opponent
288,Turnover,14:00,2,Clear,14:31,Navy
289,Clear,13:40,2,Turnover,14:00,Navy
290,Turnover,13:20,2,Clear,13:35,opponent
291,Clear,12:32,2,Goal,13:20,opponent
292,Draw,12:04,2,Shot,0:00,opponent
293,Shot,11:31,2,Shot,12:04,opponent
294,Turnover,11:13,2,Shot,11:27,opponent
295,Shot,11:06,2,Turnover,11:13,opponent
296,Turnover,10:48,2,Clear,11:00,Navy
297,Clear,10:30,2,Shot,10:48,Navy
298,Turnover,10:22,2,Shot,10:26,Navy
299,Shot,10:00,2,Clear,10:22,Navy
300,Clear,9:22,2,Shot,10:00,opponent
301,Turnover,9:15,2,Shot,9:16,opponent
302,Shot,9:06,2,Shot,9:15,opponent
303,Shot,8:10,2,Goal,9:06,opponent
304,Draw,7:51,2,Shot,0:00,Navy
305,Turnover,7:47,2,Goal,7:49,Navy
306,Draw,7:15,2,Turnover,0:00,Navy
307,Turnover,6:31,2,Goal,7:14,opponent
308,Draw,5:32,2,Goal,0:00,Navy
309,Draw,5:09,2,Goal,0:00,Navy
310,Draw,4:20,2,Shot,0:00,Navy
311,Shot,4:06,2,Clear,4:20,Navy
312,Clear,3:36,2,Shot,4:06,opponent
313,Shot,3:22,2,Goal,3:36,opponent
314,Draw,2:45,2,Turnover,0:00,Navy
315,Turnover,2:31,2,Clear,2:43,opponent
316,Clear,2:06,2,Shot,2:31,opponent
317,Turnover,1:51,2,Clear,2:04,Navy
318,Clear,1:43,2,Shot,1:51,Navy
319,Turnover,0:51,2,Clear,1:35,opponent
320,Clear,0:34,2,Turnover,0:51,opponent
321,Turnover,0:04,2,Goal,0:34,Navy
322,Draw,29:54:00,2,Turnover,0:00,Navy
323,Turnover,28:58:00,2,Shot,29:54:00,opponent
324,Shot,28:47:00,2,Clear,28:58:00,opponent
325,Clear,27:55:00,2,Goal,28:47:00,Navy
326,Draw,26:48:00,2,Shot,0:00,Navy
327,Shot,26:32:00,2,Clear,26:48:00,Navy
328,Clear,26:03:00,2,Goal,26:32:00,opponent
329,Draw,25:00:00,2,Goal,0:00,Navy
330,Draw,24:06:00,2,Shot,0:00,opponent
331,Shot,23:59,2,Clear,24:06:00,opponent
332,Clear,23:22,2,Goal,23:59,Navy
333,Draw,22:50,2,Shot,0:00,Navy
334,Shot,22:26,2,Shot,22:50,Navy
335,Shot,22:10,2,Clear,22:26,Navy
336,Clear,22:08,2,Turnover,22:10,opponent
337,Turnover,21:12,2,Turnover,22:04,Navy
338,Turnover,21:06,2,Clear,21:07,opponent
339,Clear,20:12,2,Shot,21:06,opponent
340,Shot,19:45,2,Shot,20:12,opponent
341,Turnover,19:33,2,Clear,19:41,Navy
342,Clear,19:24,2,Shot,19:33,Navy
343,Shot,18:41,2,Clear,19:24,Navy
344,Clear,18:20,2,Turnover,18:41,opponent
345,Turnover,18:06,2,Clear,18:17,Navy
346,Clear,17:21,2,Shot,18:06,Navy
347,Shot,17:11,2,Clear,17:21,Navy
348,Clear,16:37,2,Shot,17:11,opponent
349,Shot,16:26,2,Clear,16:37,opponent
350,Clear,15:58,2,Goal,16:26,Navy
351,Draw,15:31,2,Goal,0:00,opponent
352,Draw,14:26,2,Shot,0:00,Navy
353,Shot,14:06,2,Clear,14:26,Navy
354,Clear,14:00,2,Shot,14:06,opponent
355,Turnover,13:38,2,Clear,13:58,Navy
356,Clear,12:37,2,Goal,13:38,Navy
357,Draw,11:29,2,Goal,0:00,Navy
358,Draw,10:42,2,Turnover,0:00,opponent
359,Turnover,10:29,2,Clear,10:38,Navy
360,Clear,9:35,2,Shot,10:29,Navy
361,Shot,9:22,2,Goal,9:35,Navy
362,Draw,6:38,2,Goal,0:00,Navy
363,Draw,5:10,2,Shot,0:00,Navy
364,Shot,4:55,2,Clear,5:10,Navy
365,Clear,4:48,2,Goal,4:55,opponent
366,Draw,3:27,2,Turnover,0:00,Navy
367,Turnover,3:11,2,Clear,3:27,opponent
368,Clear,3:00,2,Goal,3:11,opponent
369,Draw,1:35,2,Goal,0:00,Navy
370,Draw,29:28:00,5,Shot,0:00,Navy
371,Shot,28:43:00,5,Clear,29:28:00,Navy
372,Clear,28:38:00,5,Goal,28:43:00,opponent
373,Draw,27:58:00,5,Goal,0:00,Navy
374,Draw,27:36:00,5,Turnover,0:00,Navy
375,Turnover,27:27:00,5,Clear,27:34:00,opponent
376,Clear,27:07:00,5,Goal,27:27:00,opponent
377,Draw,26:44:00,5,Clear,0:00,opponent
378,Clear,26:22:00,5,Turnover,26:44:00,opponent
379,Turnover,26:06:00,5,Clear,26:19:00,Navy
380,Clear,25:27:00,5,Shot,26:06:00,Navy
381,Shot,25:14:00,5,Clear,25:27:00,Navy
382,Clear,24:40:00,5,Shot,25:14:00,opponent
383,Shot,24:07:00,5,Goal,24:40:00,opponent
384,Draw,23:43,5,Shot,0:00,Navy
